case_id,annotator,accept,reasoning,completeness,usefulness,comment
FIELD_26,R2,no,2,2,2,"""Stalk rot"" tidak dipetakan ke busuk batang; bila dipetakan, sistem akan menyatakan di luar cakupan. Blas tidak didukung sama sekali."
FIELD_16,R2,partly,2,1,1,"Tidak ada gejala terpetakan padahal teks memuat lesi kebasahan, daun menguning, layu, dan mengering. Tidak mendiagnosis bisa dibenarkan (teks menyiratkan patogen mirip HDB), tetapi karena kegagalan pemetaan, bukan penalaran."
HOLD_14,R2,partly,2,2,2,"Kasus memang tidak dapat ditentukan, tetapi urutan nematoda (67%) tanpa gejala akar menyesatkan. ""Dwarf"" semestinya dipetakan ke sangat kerdil."
FIELD_52,R2,partly,2,2,1,Tungro seharusnya DIDUGA/TERKONFIRMASI. Daun oranye tidak dipetakan; wereng hijau (vektor) tercatat tetapi diabaikan. Nematoda di atas tungro tanpa gejala akar menyesatkan petugas.
FIELD_02,R2,no,1,2,1,"""Neck rot"" dipetakan ke busuk batang, bukan busuk leher malai, sehingga kasus blas leher/kerah yang khas dinyatakan di luar cakupan."
FIELD_23,R2,yes,4,3,3,DI LUAR CAKUPAN tepat.
FIELD_22,R2,yes,4,3,3,"Kesimpulan tepat, tetapi ""gabah hampa"" dicatat padahal tidak tertulis."
HOLD_02,R2,partly,2,3,3,"Puru berbentuk kait dan betina berbentuk pir sudah memastikan nematoda. Menahan kesimpulan karena ""tanaman kerdil"" tidak teramati tidak tepat secara agronomis."
FIELD_15,R2,yes,4,3,3,"Kesimpulan tepat. ""Bercak nekrotik"" dicatat tanpa dasar teks; ""malai busuk"" (grain rot) tidak dicatat."
HOLD_20,R2,partly,3,3,3,"Nematoda benar, tetapi ""puru akar"" yang tercatat tidak dipakai aturan (hanya varian berbentuk kait). Tungro tidak relevan."
HOLD_09,R2,yes,4,4,4,Tepat.
FIELD_28,R2,yes,3,3,3,"Sejalan dengan anotasi (blas, ragu), tetapi dasarnya hanya ""bercak nekrotik"" yang umum. Pusat abu dengan tepi cokelat tidak dipertimbangkan."
FIELD_31,R2,no,2,2,2,HDB tidak didukung. Garis cokelat pada pelepah/tulang daun bibit dan lesi kebasahan di koleoptil mengarah ke penyakit bibit bakteri lain. Beberapa gejala tidak terpetakan.
FIELD_25,R2,partly,3,1,1,"Tidak mendiagnosis sudah tepat, tetapi layu, akar berubah warna, dan akar memendek tidak terpetakan. ""Tidak ada tanda di luar cakupan"" keliru."
FIELD_14,R2,no,2,3,2,"Bercak bulat hitam kecil tidak khas blas; ""bercak nekrotik"" terlalu umum untuk mengarahkan ke blas."
FIELD_13,R2,no,2,3,2,Sama dengan K05.
HOLD_12,R2,yes,4,4,4,Tepat.
HOLD_07,R2,yes,4,4,4,"Tepat. Pencatatan ""bercak nekrotik"" bersama belah ketupat bertentangan dengan catatan glosarium, meski di sini masih dapat dibenarkan oleh nekrosis luas."
FIELD_33,R2,yes,3,4,4,"Kesimpulan tepat, tetapi ""tanaman kerdil"" disimpulkan dari kata ""maldeveloped"" dan menjadi syarat aturan."
FIELD_20,R2,partly,2,2,2,Sama dengan K42: pola hawar daun bergaris bakteri. Eksudat dan garis tembus cahaya tidak dimanfaatkan.
FIELD_09,R2,partly,3,2,2,Sama dengan K04.
HOLD_18,R2,yes,4,4,4,Tepat. Sama dengan K31 terkait pencatatan bercak nekrotik.
HOLD_10,R2,no,1,2,1,"Puru berbentuk kait yang patognomonik diabaikan. Tidak konsisten dengan K44, di mana bukti akar yang sama ditambah gejala tak tertulis menghasilkan DIDUGA."
HOLD_13,R2,yes,3,3,3,Sejalan dengan anotasi. Tepi lesi bergelombang yang diagnostik tidak ditangkap.
FIELD_17,R2,no,2,2,2,"Pola RYMV. ""Daun menguning"" dicatat tanpa dasar teks; nematoda dan tungro tidak didukung."
HOLD_05,R2,partly,2,3,2,"Tungro sebagai kemungkinan masuk akal (teks menyatakan kemiripan), tetapi nematoda tanpa gejala akar tidak relevan."
FIELD_32,R2,no,2,2,2,"Ujung daun menguning, daun memutih, dan tepi bergelombang tidak terpetakan. Semestinya minimal KEMUNGKINAN HDB."
HOLD_16,R2,yes,3,3,3,"Sejalan dengan anotasi (tungro, ragu). Penjelasan sebaiknya menyebut diferensial defisiensi hara."
HOLD_08,R2,partly,2,3,3,"Sama dengan K01: aturan blas gagal karena mensyaratkan ""bercak nekrotik"" di samping bercak belah ketupat."
FIELD_35,R2,yes,4,3,4,Sama dengan K37.
FIELD_51,R2,partly,2,2,2,"Warna kuning-oranye tidak dipetakan ke daun oranye, sehingga tungro hanya KEMUNGKINAN dan nematoda di urutan pertama."
FIELD_06,R2,yes,4,3,3,DI LUAR CAKUPAN tepat.
FIELD_21,R2,partly,2,2,2,Sama dengan K19/K42.
