symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,diagnosis,provenance
Hook_Like_Root_Swelling,Root_Knot_Swelling,Panicle_Neck_Rot,Diamond_Shaped_Lesions,,,Rice_Blast and Rice_Root_Nematode,rule_derived
Green_Leafhopper_Present,Yellowing_Leaves,Panicle_Neck_Rot,Diamond_Shaped_Lesions,,,Rice_Blast and Rice_Tungro_Virus,rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,Panicle_Neck_Rot,Diamond_Shaped_Lesions,,,False_Smut and Rice_Blast,rule_derived
Yellowing_Leaf_Veins,Uniform_Field_Infection,Rapid_Disease_Spread,Leaf_Discoloration_Yellow,,,Bacterial_Leaf_Blight and Rice_Blast,rule_derived
Frass_In_Stem,Bore_Holes_In_Stem,Rainy_Season_Outbreak,Plant_Yellowing,,,"insect damage, out of scope",rule_derived
Severed_Panicles,Leaf_Chewing_Damage,Deadheart_Seedling,Localized_Leaf_Yellowing,,,"insect damage, out of scope",rule_derived
Hook_Like_Root_Swelling,Root_Knot_Swelling,Milky_Stage_Vulnerability,Leaf_Discoloration_Yellow,,,Rice_Root_Nematode,rule_derived
Nymphs_Present,Adult_Insects_Present,Empty_Grains,Rainy_Season_Outbreak,Rapid_Disease_Spread,,"insect damage, out of scope",rule_derived
Hopperburn_Drying,Circular_Hopperburn_Patches,Blackened_Feeding_Punctures,Rotten_Panicles,,,"insect damage, out of scope",rule_derived
Yellowing_Leaf_Veins,Uniform_Field_Infection,Random_Feeding_Pattern,Yellowing_Leaf_Tips,,,Bacterial_Leaf_Blight,rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,Infected_Seedlings,Plant_Yellowing,,,False_Smut,rule_derived
Panicle_Neck_Rot,Diamond_Shaped_Lesions,Leaf_Discoloration_Yellow,Milky_Stage_Vulnerability,,,Rice_Blast,rule_derived
Brown_Planthopper_Present,Severe_Stunting,Rotten_Panicles,Deadheart_Seedling,,,Rice_Grassy_Stunt,rule_derived
Green_Leafhopper_Present,Yellowing_Leaves,Localized_Leaf_Yellowing,Rapid_Disease_Spread,,,Rice_Tungro_Virus,rule_derived
Bore_Holes_In_Stem,Frass_In_Stem,Whitehead_Empty_Panicles,Rainy_Season_Outbreak,,,"insect damage, out of scope",rule_derived
Yellowing_Leaf_Veins,Uniform_Field_Infection,Rapid_Disease_Spread,Infected_Seedlings,,,Bacterial_Leaf_Blight,rule_derived
Diamond_Shaped_Lesions,Panicle_Neck_Rot,Slight_Panicle_Infection,Rainy_Season_Outbreak,,,Rice_Blast,rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,Milky_Stage_Vulnerability,Uniform_Field_Infection,,,False_Smut,rule_derived
Hook_Like_Root_Swelling,Root_Knot_Swelling,Stunted_Growth,Deformed_Roots,,,Rice_Root_Nematode,rule_derived
Severed_Panicles,Leaf_Chewing_Damage,Broad_Leaf_Damage,Eggs_On_Plant,,,"insect damage, out of scope",rule_derived
Hopperburn_Drying,Circular_Hopperburn_Patches,Empty_Grains,Plant_Yellowing,,,"insect damage, out of scope",rule_derived
Nymphs_Present,Adult_Insects_Present,Empty_Grains,Leaf_Margin_Sap_Sucking,,,"insect damage, out of scope",rule_derived
Brown_Planthopper_Present,Severe_Stunting,No_Panicle_Formation,Plant_Yellowing,,,Rice_Grassy_Stunt,rule_derived
Green_Leafhopper_Present,Yellowing_Leaves,Yellowing_Leaf_Tips,Rapid_Disease_Spread,,,Rice_Tungro_Virus,rule_derived
Hopperburn_Drying,Circular_Hopperburn_Patches,Nymphs_Present,Adult_Insects_Present,Empty_Grains,,"insect damage, out of scope",rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,Panicle_Neck_Rot,Diamond_Shaped_Lesions,,,False_Smut,rule_derived
Severed_Panicles,,,,,,No_Diagnosis,rule_derived
Frass_In_Stem,,,,,,No_Diagnosis,rule_derived
Yellowing_Leaf_Veins,,,,,,No_Diagnosis,rule_derived
Rusty_Grain_Balls,,,,,,No_Diagnosis,rule_derived
Panicle_Neck_Rot,,,,,,No_Diagnosis,rule_derived
Hopperburn_Drying,,,,,,No_Diagnosis,rule_derived
Yellowing_Leaves,Necrotic_Spots,Plant_Yellowing,Stunted_Growth,,,Rice_Tungro_Virus,rule_derived
Severe_Stunting,No_Panicle_Formation,Plant_Yellowing,,,,Rice_Grassy_Stunt,rule_derived
Plant_Yellowing,Yellowing_Leaf_Tips,,,,,No_Diagnosis,rule_derived
Leaf_Discoloration_Yellow,Rapid_Disease_Spread,,,,,No_Diagnosis,rule_derived
Milky_Stage_Vulnerability,Rainy_Season_Outbreak,,,,,No_Diagnosis,rule_derived
Rotten_Panicles,Localized_Leaf_Yellowing,,,,,No_Diagnosis,rule_derived
Blackened_Feeding_Punctures,,,,,,No_Diagnosis,rule_derived
Slight_Panicle_Infection,,,,,,No_Diagnosis,rule_derived
Deadheart_Seedling,Easily_Pulled_Tillers,,,,,No_Diagnosis,rule_derived
Random_Feeding_Pattern,,,,,,No_Diagnosis,rule_derived
Deformed_Roots,,,,,,No_Diagnosis,rule_derived
Leaf_Margin_Sap_Sucking,,,,,,No_Diagnosis,rule_derived
Infected_Seedlings,,,,,,No_Diagnosis,rule_derived
Empty_Grains,Plant_Yellowing,,,,,No_Diagnosis,rule_derived
