threat,observation,p_sign_given_threat,elicitation,source_phrase,citation,doi,locator,note
Rice_Tungro_Virus,Orange_Leaf_Discoloration,0.90,qualitative,"Importantly, it is known that RTD-associated tungro viruses develop symptoms similar to those caused by ROLP infection in rice, such as golden-or orange-colored leaves","Jonson, G.B., Matres, J.M., Ong, S., Tanaka, T., Choi, I.R. & Chiba, S. (2020). Reemerging Rice Orange Leaf Phytoplasma with Varying Symptoms Expressions and Its Transmission by a New Leafhopper Vector—Nephotettix virescens Distant. Pathogens, 9(12), 990.",10.3390/pathogens9120990,Introduction,Diagnostic yellow-orange to golden leaf discoloration
Rice_Tungro_Virus,Stunted_Growth,0.70,qualitative,"Additionally, Rice Tungro Disease is a viral disease transmitted by leafhoppers that reduces chlorophyll content, resulting in stunted growth, reduced tillering, and yield losses","Islam, M.S., et al. (2026). A hybrid deep learning model with adaptive feature fusion for automated rice leaf disease detection and classification. Scientific Reports, 16, 2970.",10.1038/s41598-026-52534-3,Section 1,Stunting and reduced plant height
Rice_Tungro_Virus,Green_Leafhopper_Present,0.70,qualitative,virescens is the most efficient vector of the tungro disease [19].,"Jonson, G.B., Matres, J.M., Ong, S., Tanaka, T., Choi, I.R. & Chiba, S. (2020). Reemerging Rice Orange Leaf Phytoplasma with Varying Symptoms Expressions and Its Transmission by a New Leafhopper Vector—Nephotettix virescens Distant. Pathogens, 9(12), 990.",10.3390/pathogens9120990,Introduction,Nephotettix virescens vector presence
Rice_Tungro_Virus,Yellowing_Leaves,0.70,qualitative,Yellow or orange discoloration,"Wang, P., Liu, J., Lyu, Y., Huang, Z., Zhang, X., Sun, B., Li, P., Jing, X., Li, H. & Zhang, C. (2022). A Review of Vector-Borne Rice Viruses. Viruses, 14(10), 2258.",10.3390/v14102258,Table 2,Foliar chlorosis and yellowing
Rice_Tungro_Virus,Whitehead_Empty_Panicles,0.40,qualitative,"Susceptible rice plants to virus infections are primarily characterized by a set of disease symptoms such as dwarfism, increased or reduced tillering numbers; leaves being dark green, yellow, or mosaic; inferior heading; and mostly unfilled grains.","Wang, P., Liu, J., Lyu, Y., Huang, Z., Zhang, X., Sun, B., Li, P., Jing, X., Li, H. & Zhang, C. (2022). A Review of Vector-Borne Rice Viruses. Viruses, 14(10), 2258.",10.3390/v14102258,Section 2,"Incomplete exsertion, sterile or empty grains on panicles"
Bacterial_Leaf_Blight,Water_Soaked_Lesions,0.90,qualitative,"Leaf samples exhibiting typical symptoms of bacterial blight characterized by yellowing lesions along leaf margins, water-soaked streaks extending toward the midrib, and necrotic tips were collected for analysis (IRRI Standard Evaluation System, IRRI, 2013).","Nipa, M.A., et al. (2025). Genetic profiling of bacterial leaf blight resistance genes in Bangladeshi rice varieties. BMC Plant Biology, 25, 958.",10.1186/s12870-025-07928-2,Methods,Early water-soaked marginal lesions typical of BLB
Bacterial_Leaf_Blight,Yellowing_Leaf_Tips,0.70,qualitative,"Leaf samples exhibiting typical symptoms of bacterial blight characterized by yellowing lesions along leaf margins, water-soaked streaks extending toward the midrib, and necrotic tips were collected for analysis (IRRI Standard Evaluation System, IRRI, 2013).","Nipa, M.A., et al. (2025). Genetic profiling of bacterial leaf blight resistance genes in Bangladeshi rice varieties. BMC Plant Biology, 25, 958.",10.1186/s12870-025-07928-2,Methods,Apical yellowing and necrotic leaf tips
Bacterial_Leaf_Blight,Leaf_Discoloration_Yellow,0.70,qualitative,"Leaf samples exhibiting typical symptoms of bacterial blight characterized by yellowing lesions along leaf margins, water-soaked streaks extending toward the midrib, and necrotic tips were collected for analysis (IRRI Standard Evaluation System, IRRI, 2013).","Nipa, M.A., et al. (2025). Genetic profiling of bacterial leaf blight resistance genes in Bangladeshi rice varieties. BMC Plant Biology, 25, 958.",10.1186/s12870-025-07928-2,Methods,Yellowing marginal lesions expanding across leaf blade
Bacterial_Leaf_Blight,Yellowing_Leaf_Veins,0.40,qualitative,"Lesions usually begin at the margin, a few centimeters from the tip, as tiny water-soaked spots, which enlarge, lengthen, and broaden, with a wavy margin following the veins.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 65,Wavy margin progressing along vascular bundles
Bacterial_Leaf_Blight,Bacterial_Ooze,0.70,qualitative,"In humid conditions or early morning, drops of bacterial exudate or ooze may be observed on young lesions on the leaf surface.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 65,Bacterial ooze droplets (sourced link not in rule antecedents)
Bacterial_Leaf_Blight,Rapid_Disease_Spread,0.70,qualitative,"Under favorable weather conditions with typhoons, heavy rains, and warm temperatures, the disease spreads rapidly across entire fields.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 70,Rapid secondary spread during stormy humid weather
Bacterial_Leaf_Blight,Uniform_Field_Infection,0.40,qualitative,Severe epidemics may involve large continuous tracts of fields turning yellow and then blighted white.,"Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 70,Stand-level widespread blighting during severe outbreaks
False_Smut,Rusty_Grain_Balls,0.90,qualitative,The typical symptoms of false smut balls are yellow or dark green smut balls in the middle and lower panicle of the rice (Figure 1).,"Yang, D., He, N., Huang, F., Jin, Y. & Li, S. (2023). The Genetic Mechanism of the Immune Response to the Rice False Smut (RFS) Fungus Ustilaginoidea virens. Plants, 12(4), 741.",10.3390/plants12040741,Section 2,Yellow-orange powdery smut balls replacing grain
False_Smut,Blackened_Grain_Balls,0.90,qualitative,(b) A diseased rice panicle showing greenish-black false smut balls in a paddy field.,"Yang, D., He, N., Huang, F., Jin, Y. & Li, S. (2023). The Genetic Mechanism of the Immune Response to the Rice False Smut (RFS) Fungus Ustilaginoidea virens. Plants, 12(4), 741.",10.3390/plants12040741,Figure 1 legend,Mature dark green to greenish-black chlamydospore masses
False_Smut,Slight_Panicle_Infection,0.70,qualitative,"At the early stage of the false smut balls, the spots are small and confined to the glumes of the rice inflorescence.","Yang, D., He, N., Huang, F., Jin, Y. & Li, S. (2023). The Genetic Mechanism of the Immune Response to the Rice False Smut (RFS) Fungus Ustilaginoidea virens. Plants, 12(4), 741.",10.3390/plants12040741,Section 2,Individual spikelets infected rather than entire panicle
False_Smut,Rainy_Season_Outbreak,0.70,qualitative,High relative humidity and frequent rainfall during flowering favor disease infection and development.,"Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 320,Rainy humid weather favoring smut ball formation
False_Smut,Milky_Stage_Vulnerability,0.70,qualitative,"The fungus infects the ovary at early flowering to heading stages, replacing the developing grain.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 319,Phenological susceptibility during flowering/milky stage
False_Smut,Uniform_Field_Infection,0.40,qualitative,"Under favorable weather with excessive nitrogen fertilizer, false smut can occur broadly throughout affected paddies.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 321,Broad field infection under conducive climatic conditions
Rice_Blast,Diamond_Shaped_Lesions,0.90,qualitative,Large lesions usually develop a diamond shape with a grayish center and brown margin.,"Ashkani, S., et al. (2015). Molecular Breeding Strategy and Challenges Towards Improvement of Blast Disease Resistance in Rice Crop. Frontiers in Plant Science, 6, 886.",10.3389/fpls.2015.00886,Section 2,Diagnostic diamond / spindle-shaped lesions
Rice_Blast,Necrotic_Spots,0.70,qualitative,Its most infections occur on the leaves and first symptoms of the disease appear as small brown or grayish dots on the leaves.,"Ashkani, S., et al. (2015). Molecular Breeding Strategy and Challenges Towards Improvement of Blast Disease Resistance in Rice Crop. Frontiers in Plant Science, 6, 886.",10.3389/fpls.2015.00886,Section 2,Initial necrotic leaf spots / dots
Rice_Blast,Panicle_Neck_Rot,0.70,qualitative,"The fungus colonizes leaves (leaf blast), panicles (panicle blast) and other parts of the rice plants, and causes huge crop loss in rice growing areas","Ashkani, S., et al. (2015). Molecular Breeding Strategy and Challenges Towards Improvement of Blast Disease Resistance in Rice Crop. Frontiers in Plant Science, 6, 886.",10.3389/fpls.2015.00886,Introduction,Infection of panicle neck node causing neck rot
Rice_Blast,Infected_Seedlings,0.40,qualitative,Seedlings in nursery beds are frequently infected and killed when blast develops early in the season.,"Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 115,Early season blast on nursery seedlings
Rice_Blast,Uniform_Field_Infection,0.40,qualitative,"Under severe blast epidemics, entire fields may appear scorched or burned as if swept by fire.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 116,Stand-level uniform blighting during epidemic outbreaks
